bin,mean_predicted_risk,observed_rate,n,model
0,0.03855225327343712,0.0,209,Logistic Regression
1,0.049053441409831235,0.009569377990430622,209,Logistic Regression
2,0.05615317419814085,0.023923444976076555,209,Logistic Regression
3,0.06238278484820076,0.03827751196172249,209,Logistic Regression
4,0.06759593722121014,0.03349282296650718,209,Logistic Regression
5,0.07361390077391278,0.04807692307692308,208,Logistic Regression
6,0.08048267033402946,0.07177033492822966,209,Logistic Regression
7,0.08799152805477801,0.05263157894736842,209,Logistic Regression
8,0.09522460040164749,0.08133971291866028,209,Logistic Regression
9,0.10589148164937286,0.09090909090909091,209,Logistic Regression
0,0.04683414101600647,0.004784688995215311,209,XGBoost
1,0.07342217862606049,0.028708133971291867,209,XGBoost
2,0.08749989420175552,0.05263157894736842,209,XGBoost
3,0.09815525263547897,0.04784688995215311,209,XGBoost
4,0.11019714176654816,0.03827751196172249,209,XGBoost
5,0.12491453438997269,0.038461538461538464,208,XGBoost
6,0.14085161685943604,0.03349282296650718,209,XGBoost
7,0.15825270116329193,0.07655502392344497,209,XGBoost
8,0.184934601187706,0.03349282296650718,209,XGBoost
9,0.2765530049800873,0.09569377990430622,209,XGBoost
0,0.1612923007132586,0.014354066985645933,209,Random Forest
1,0.20140401187299856,0.014354066985645933,209,Random Forest
2,0.22597632291223452,0.05263157894736842,209,Random Forest
3,0.24284336174465568,0.03349282296650718,209,Random Forest
4,0.25726080400191,0.0430622009569378,209,Random Forest
5,0.26987073579497584,0.038461538461538464,208,Random Forest
6,0.28144651574463386,0.07177033492822966,209,Random Forest
7,0.29409255980222837,0.0430622009569378,209,Random Forest
8,0.3128582015155216,0.05263157894736842,209,Random Forest
9,0.3529437923236575,0.0861244019138756,209,Random Forest
