model,threshold,precision,recall,f1,predicted_positive_rate,predicted_positives
Logistic Regression,0.15,0.17608102843786522,0.7140600315955766,0.2825,0.6022993899577663,2567
Logistic Regression,0.14,0.17127260320709656,0.7930489731437599,0.28170594837261503,0.6877053026748006,2931
Logistic Regression,0.17,0.1870310825294748,0.5513428120063191,0.279311724689876,0.4378226184889723,1866
Logistic Regression,0.16,0.17807606263982104,0.6287519747235387,0.2775453277545328,0.524401689347724,2235
Logistic Regression,0.13,0.16579352850539292,0.8499210110584519,0.2774626095925735,0.7613796339746598,3245
Logistic Regression,0.18,0.1928616155291171,0.48657187993680884,0.27623318385650225,0.3747067104645706,1597
Logistic Regression,0.12,0.1609322974472808,0.9162717219589257,0.27377861694595235,0.8456123885499766,3604
Logistic Regression,0.19,0.19878141660319879,0.41232227488151657,0.2682425488180884,0.3080713280150164,1313
Logistic Regression,0.11,0.1559444158517756,0.957345971563981,0.2682009294091613,0.9117785077428437,3886
Logistic Regression,0.1,0.15376984126984128,0.9794628751974723,0.2658092175777063,0.9460347254809949,4032
Logistic Regression,0.09,0.1526866034524678,0.9921011058451816,0.26464391066160975,0.9650398873768185,4113
Logistic Regression,0.2,0.2106280193236715,0.344391785150079,0.26139088729016785,0.24284373533552323,1035
Logistic Regression,0.08,0.15004770992366412,0.9936808846761453,0.2607253886010363,0.983575786015955,4192
Logistic Regression,0.07,0.14897622970110613,1.0,0.25931995083981974,0.9969497888315345,4249
Logistic Regression,0.06,0.14866134335368716,1.0,0.258842772439174,0.999061473486626,4258
Logistic Regression,0.04,0.14855667683642337,1.0,0.2586841029832448,0.9997653683716565,4261
Logistic Regression,0.05,0.14855667683642337,1.0,0.2586841029832448,0.9997653683716565,4261
Logistic Regression,0.01,0.14852182074143594,1.0,0.25863125638406537,1.0,4262
Logistic Regression,0.02,0.14852182074143594,1.0,0.25863125638406537,1.0,4262
Logistic Regression,0.03,0.14852182074143594,1.0,0.25863125638406537,1.0,4262
Logistic Regression,0.21,0.2068095838587642,0.25908372827804105,0.2300140252454418,0.18606288127639606,793
Logistic Regression,0.22,0.2169811320754717,0.18167456556082148,0.19776440240756663,0.12435476302205538,530
Logistic Regression,0.23,0.2034383954154728,0.11216429699842022,0.1446028513238289,0.08188643829188175,349
Logistic Regression,0.24,0.19318181818181818,0.053712480252764615,0.08405438813349815,0.041295166588456125,176
Logistic Regression,0.25,0.22727272727272727,0.023696682464454975,0.04291845493562232,0.015485687470671047,66
Logistic Regression,0.26,0.22580645161290322,0.011058451816745656,0.02108433734939759,0.007273580478648522,31
Logistic Regression,0.27,0.25,0.007898894154818325,0.015313935681470138,0.004692632566870014,20
Logistic Regression,0.3,0.42857142857142855,0.004739336492890996,0.009375,0.001642421398404505,7
Logistic Regression,0.28,0.3,0.004739336492890996,0.00933125972006221,0.002346316283435007,10
Logistic Regression,0.29,0.3,0.004739336492890996,0.00933125972006221,0.002346316283435007,10
Logistic Regression,0.35,0.3333333333333333,0.001579778830963665,0.0031446540880503146,0.0007038948850305022,3
Logistic Regression,0.36,0.3333333333333333,0.001579778830963665,0.0031446540880503146,0.0007038948850305022,3
Logistic Regression,0.37,0.3333333333333333,0.001579778830963665,0.0031446540880503146,0.0007038948850305022,3
Logistic Regression,0.38,0.3333333333333333,0.001579778830963665,0.0031446540880503146,0.0007038948850305022,3
Logistic Regression,0.32,0.25,0.001579778830963665,0.0031397174254317113,0.0009385265133740028,4
Logistic Regression,0.33,0.25,0.001579778830963665,0.0031397174254317113,0.0009385265133740028,4
Logistic Regression,0.34,0.25,0.001579778830963665,0.0031397174254317113,0.0009385265133740028,4
Logistic Regression,0.31,0.2,0.001579778830963665,0.003134796238244514,0.0011731581417175035,5
Logistic Regression,0.39,0.0,0.0,0.0,0.0004692632566870014,2
Logistic Regression,0.4,0.0,0.0,0.0,0.0004692632566870014,2
Logistic Regression,0.41,0.0,0.0,0.0,0.0002346316283435007,1
Logistic Regression,0.42,0.0,0.0,0.0,0.0002346316283435007,1
Logistic Regression,0.43,0.0,0.0,0.0,0.0002346316283435007,1
Logistic Regression,0.44,0.0,0.0,0.0,0.0002346316283435007,1
Logistic Regression,0.45,0.0,0.0,0.0,0.0002346316283435007,1
Logistic Regression,0.46,0.0,0.0,0.0,0.0002346316283435007,1
Logistic Regression,0.47,0.0,0.0,0.0,0.0002346316283435007,1
Logistic Regression,0.48,0.0,0.0,0.0,0.0,0
Logistic Regression,0.49,0.0,0.0,0.0,0.0,0
Logistic Regression,0.5,0.0,0.0,0.0,0.0,0
