bin,mean_predicted_risk,observed_rate,n,model
0,0.049007602657811976,0.016483516483516484,182,Logistic Regression
1,0.056835475502462825,0.02197802197802198,182,Logistic Regression
2,0.06223621536512133,0.03296703296703297,182,Logistic Regression
3,0.06678262759717984,0.04419889502762431,181,Logistic Regression
4,0.07170981053072342,0.038461538461538464,182,Logistic Regression
5,0.07748356364520922,0.054945054945054944,182,Logistic Regression
6,0.08396601362200119,0.06629834254143646,181,Logistic Regression
7,0.09043901050758119,0.07142857142857142,182,Logistic Regression
8,0.09656435229570683,0.08241758241758242,182,Logistic Regression
9,0.1068390858210521,0.08791208791208792,182,Logistic Regression
